time,reference,position,measured_distance,error,velocity_control
10.74,-50,178.36,-14,0,0,
10.76,-50,177.37,-14,0,0,
10.78,-50,176.37,-12,0,0,
10.8,-50,173.97,-11,0,0,
10.82,-50,172.92,-9,0,0,
10.84,-50,171.85,-7,0,0,
10.86,-50,169.27,-5,0,0,
10.88,-50,168.13,-6,0,0,
10.9,-50,166.98,-3,0,0,
10.92,-50,164.61,-5,0,0,
10.94,-50,162.98,-4,0,0,
10.96,-50,161.72,-4,0,0,
10.98,-50,159.12,-4,0,0,
11,-50,157.77,-5,0,0,
11.02,-50,155.92,-2,0,0,
11.04,-50,153.08,-2,0,0,
11.06,-50,151.64,-4,0,0,
11.08,-50,150.18,-4,0,0,
11.1,-50,146.78,-4,0,0,
11.12,-50,145.32,-3,0,0,
11.14,-50,143.86,-3,0,0,
11.16,-50,140.45,-4,0,0,
11.18,-50,138.98,-4,0,0,
11.2,-50,137.52,-4,0,0,
11.22,-50,134.6,-4,0,0,
11.24,-50,132.66,-3,0,0,
11.26,-50,131.2,-3,0,0,
11.28,-50,128.3,-4,0,0,
11.3,-50,126.85,-3,0,0,
11.32,-50,124.93,-3,0,0,
11.34,-50,122.04,-3,0,0,
11.36,-50,120.6,-4,0,0,
11.38,-50,119.15,-2,0,0,
11.4,-50,115.78,-4,0,0,
11.42,-50,114.33,-2,0,0,
11.44,-50,112.87,-5,0,0,
11.46,-50,109.47,-4,0,0,
11.48,-50,108.01,-4,0,0,
11.5,-50,106.55,-5,0,0,
11.52,-50,103.62,-4,0,0,
11.54,-50,101.68,-8,0,0,
11.56,-50,100.22,-8,0,0,
11.58,-50,97.327,-8,0,0,
11.6,-50,95.891,-10,0,0,
11.62,-50,93.989,-10,0,0,
11.64,-50,91.173,-10,0,0,
11.66,-50,89.785,-11,0,0,
11.68,-50,88.413,-12,0,0,
11.7,-50,85.29,-13,0,0,
11.72,-50,83.986,-12,0,0,
11.74,-50,82.704,-13,0,0,
11.76,-50,79.786,-12,0,0,
